center,emb_0,emb_1,emb_2,emb_3,emb_4,emb_5,emb_6,emb_7
IND733129AAB,2.9774659,0.0,2.562106,0.0,3.0218463,0.31209117,0.0,2.7393878
IND577101AAA,2.8310077,0.0,2.2569704,0.0,2.5208156,0.0,0.0,2.6369681
IND209304AAA,13.517293,0.0,9.740174,0.0,9.277174,0.0,0.0,11.180627
IND802213AAB,7.3801208,0.0,6.0491652,0.8478952,7.0444593,2.7037516,0.0,6.337596
IND643001AAA,1.6141609,0.0,1.3057489,0.0,1.6691543,0.0,0.0,1.5338587
IND722101AAB,8.3023405,0.0,6.7277446,0.0,8.156674,0.71332806,0.0,7.535485
IND509103AAC,2.6884143,0.0,2.1888354,0.0,2.8302703,0.0,0.0,2.694781
IND212402AAA,2.3412857,0.0,2.2914093,0.0,2.9215236,0.0,0.0,2.2225134
IND509301AAA,2.8124568,0.0,1.475566,0.0,2.2483516,0.0,0.0,2.5753357
IND212501AAA,5.738707,0.0,4.7212534,0.3112877,5.607571,1.8507525,0.0,4.970294
IND743270AAA,3.3244715,0.0,2.1116652,0.0,3.3242066,0.0,0.0,3.2397435
IND571104AAA,3.2097669,0.0,2.404587,0.0,2.8143246,0.0,0.0,2.8098414
IND410505AAB,4.568276,0.0,3.29471,0.0,4.1992936,0.0,0.0,4.316118
IND148101AAA,1.7140703,0.0,1.4553539,0.0,2.1608205,0.0,0.0,1.8219422
IND400072AAA,4.4009953,0.0,1.6363391,0.0,3.7004242,0.0,0.0,3.842004
IND148028AAA,0.33657095,0.0,0.0,0.0,0.15562025,0.0,0.0,0.21626252
IND853204AAA,4.0211873,0.0,3.4118032,0.0,4.122221,0.68099326,0.0,3.610038
IND411033AAA,7.4633946,0.0,3.1024868,0.0,1.3633312,0.0,0.0,5.2759643
IND344022AAB,2.9544818,0.0,2.193371,0.0,2.6893346,0.0,0.0,2.6382444
IND400016AAB,0.29910815,0.0,0.0,0.0,0.082327,0.0,0.0,0.27632782
IND733134AAA,2.8228714,0.0,2.2877128,0.0,2.8109164,0.24138123,0.0,2.5861955
IND600083AAA,0.27498662,0.0,0.22135277,0.0,0.21952394,0.0,0.0,0.20558867
IND208017AAA,0.0605017,0.0,0.0,0.0,0.39980596,0.0,0.0,0.21592566
IND462011AAA,4.082502,0.0,2.5822546,0.0,3.5690668,0.0,0.0,3.7014315
IND846004AAA,3.463568,0.0,2.5792258,0.0,3.3590643,0.0,0.0,3.2278435
IND792120AAB,6.756081,0.0,6.208995,0.0,7.5281296,0.51434773,0.0,5.984792
IND143001AAA,3.2060795,0.0,1.7250315,0.0,2.8414986,0.0,0.0,3.064297
IND403507AAA,1.9145219,0.0,1.6146679,0.0,2.307377,0.0,0.0,1.958769
IND505209AAA,3.0745857,0.0,2.1765444,0.0,2.6722412,0.0,0.0,2.8794594
IND516101AAA,3.2692347,0.0,2.6786172,0.0,3.2366908,0.6244668,0.0,2.9051666
IND125104AAA,2.8780892,0.0,2.292882,0.0,2.8854814,0.0,0.0,2.6894116
IND465683AAA,2.4072263,0.0,1.9884338,0.0,2.4474514,0.12893522,0.0,2.207277
IND587103AAB,2.956196,0.0,2.2063038,0.0,2.5375779,0.08754956,0.0,2.5560324
IND248001AAA,2.6672199,0.0,2.0728226,0.0,2.7790692,0.0,0.0,2.7615454
IND244235AAA,3.1215427,0.0,1.6251713,0.0,2.7817862,0.0,0.0,2.8855007
IND521225AAB,5.8327584,0.0,3.5950959,0.0,3.5611508,0.0,0.0,5.19143
IND516001AAA,2.5508387,0.0,2.078345,0.0,2.5143607,0.27362362,0.0,2.3083663
IND845305AAA,3.8216743,0.0,2.9470541,0.0,3.949234,0.0,0.0,3.672054
IND723131AAA,1.5443909,0.0,1.5718753,0.0,2.004692,0.0,0.0,1.5137726
IND504208AAB,2.3644693,0.0,1.7730222,0.0,2.085673,0.0,0.0,2.3214624
IND474003AAA,5.180906,0.0,3.6468267,0.0,3.5443087,0.0,0.0,4.6639895
IND425409AAA,3.936364,0.0,2.9296699,0.0,3.3503397,0.0,0.0,3.4652193
IND844505AAB,4.922436,0.0,3.8929014,0.0,5.0238647,0.0,0.0,4.6339917
IND303338AAB,1.9615424,0.0,1.6507038,0.0,1.957918,0.0,0.0,1.9028379
IND695121AAA,1.977257,0.0,1.3291531,0.0,1.6510139,0.0,0.0,1.7596115
IND798601AAA,5.5831394,0.0,5.0062594,0.0,6.3127375,0.0,0.0,5.0698504
IND792121AAB,4.4211836,0.0,4.318397,0.0,5.2998457,0.0,0.0,3.8720818
IND249407AAA,5.3429956,0.0,4.2395625,0.0,4.7488823,0.0,0.0,5.0150886
IND501301AAC,3.6883795,0.0,2.8962417,0.0,3.4936473,0.41461754,0.0,3.3564332
IND000000AFJ,2.9683106,0.0,2.1162395,0.0,2.4864042,0.0,0.0,2.6006777
IND274001AAA,4.123738,0.0,3.2827742,0.0,3.9421556,0.0,0.0,3.7994697
IND465333AAA,1.6943308,0.0,1.2194372,0.0,1.7139581,0.0,0.0,1.7604753
IND176310AAA,1.9813907,0.0,1.7890999,0.0,2.2385328,0.0,0.0,1.8505054
IND342602AAC,3.1826112,0.0,2.4239745,0.0,2.8280706,0.0,0.0,2.8760998
IND000000ADV,0.47251886,0.0,0.09070025,0.0,0.06331081,0.0,0.0,0.38149112
IND127021AAA,3.301904,0.0,1.8443508,0.0,3.1409943,0.0,0.0,3.1801217
IND181152AAB,4.3321238,0.0,2.9590795,0.0,3.7170954,0.0,0.0,4.094442
IND304001AAA,3.2311494,0.0,2.7629545,0.0,3.4286091,0.0,0.0,3.1527276
IND244412AAA,2.8942459,0.0,1.8956369,0.0,2.3644717,0.0,0.0,2.5938907
IND380006AAA,0.815439,0.0,0.0,0.0,0.056405477,0.0,0.0,0.42153463
IND144001AAC,0.93401855,0.0,0.0,0.0,0.0,0.0,0.0,0.3970569
IND723101AAA,2.8910306,0.0,2.5854454,0.0,3.256724,0.0,0.0,2.65742
IND271201AAA,4.571275,0.0,4.701827,0.0,5.593207,0.0,0.0,3.6695044
IND431203AAA,3.7718923,0.0,2.787041,0.0,3.4122922,0.0,0.0,3.3896406
IND505122AAA,2.90724,0.0,2.4838407,0.0,2.8748133,0.15749633,0.0,2.7182264
IND110093AAA,4.9875693,0.0,3.965106,0.0,4.7843976,0.96734864,0.0,4.4970493
IND723130AAA,13.808883,0.0,11.442233,2.1123087,12.823999,4.8992786,0.0,11.935288
IND610001AAA,3.672178,0.0,2.905959,0.0,3.315749,0.32650235,0.0,3.2284448
IND131028AAB,7.7962527,0.0,3.1299803,0.0,1.6728526,0.0,0.0,5.3072333
IND400015AAB,4.4708033,0.0,2.3869472,0.0,3.9414213,0.0,0.0,4.182446
IND431131AAB,0.03450587,0.0,0.13139114,0.0,0.42972094,0.0,0.0,0.1039936
IND322241AAA,2.5230176,0.0,2.0627017,0.0,2.52419,0.23176548,0.0,2.2948203
IND533308AAB,5.0005975,0.0,3.9224265,0.0,4.597421,0.16975725,0.0,4.5360627
IND721602AAB,3.434517,0.0,2.923906,0.0,3.475258,0.40748376,0.0,3.1600502
IND508277AAB,1.7453015,0.0,1.3954788,0.0,1.7915682,0.0,0.0,1.6549404
IND341306AAA,2.7614267,0.0,1.9388225,0.0,2.6295426,0.0,0.0,2.648286
IND614620AAA,2.4379935,0.0,1.9654657,0.0,2.3731015,0.20578766,0.0,2.2109807
IND732204AAB,4.7280116,0.0,3.6496496,0.0,4.24304,0.83882815,0.0,4.095937
IND421601AAB,4.3288436,0.0,2.69211,0.0,4.137008,0.0,0.0,4.07873
IND362560AAA,3.0820868,0.0,2.5164268,0.0,3.0305355,0.5439241,0.0,2.747907
IND127201AAA,2.9009292,0.0,2.3402538,0.0,2.84515,0.30751535,0.0,2.6310194
IND361315AAA,2.732649,0.0,2.1764464,0.0,2.635586,0.22616798,0.0,2.4908378
IND132103AAB,6.4744735,0.0,4.563194,0.0,5.858505,0.0,0.0,5.8813868
IND134102AAA,4.834512,0.0,4.0609727,0.0,4.7673497,1.0282689,0.0,4.366493
IND571313AAB,2.7282836,0.0,2.201966,0.0,2.6237526,0.38878095,0.0,2.449723
IND110043AAA,4.1476784,0.0,1.8181821,0.0,3.4612658,0.0,0.0,3.7539241
IND791102AAA,3.5553992,0.0,2.9841878,0.0,3.4521308,0.585752,0.0,3.235133
IND813102AAA,0.36862886,0.0,0.036369093,0.0,0.06793728,0.0,0.0,0.19480088
IND285001AAD,3.4260497,0.0,2.7472007,0.07981834,3.1845107,0.79846984,0.0,3.012824
IND695582AAA,0.43415442,0.0,0.0,0.0,0.07980459,0.0,0.0,0.2732009
IND210431AAA,3.282174,0.0,2.408941,0.0,3.448247,0.0,0.0,3.2452643
IND184104AAA,3.0959861,0.0,1.5256257,0.0,2.079864,0.0,0.0,2.8070498
IND796081AAA,5.0669646,0.0,4.27528,0.0,5.2657795,0.8963655,0.0,4.599153
IND742147AAA,3.4105823,0.0,2.7970374,0.0,3.3816085,0.6916246,0.0,3.0239794
IND334001AAB,2.529774,0.0,2.040017,0.0,2.6218574,0.0,0.0,2.3986228
IND732139AAA,1.7607927,0.0,1.3394932,0.0,1.6631032,0.0,0.0,1.6769575
IND207001AAA,4.677145,0.0,3.8186646,0.21347259,4.507084,1.3751203,0.0,4.067841
IND380054AAA,3.9821346,0.0,2.18549,0.0,3.324506,0.0,0.0,3.5150652
IND532222AAA,2.9595296,0.0,2.0758336,0.0,2.5460231,0.0,0.0,2.6438708
IND600048AAA,4.5415483,0.0,3.7874653,0.0,4.566386,0.30871636,0.0,4.2556376
IND756045AAB,1.6839008,0.0,1.5211976,0.0,2.0570035,0.0,0.0,1.754726
IND131028AAE,3.8912504,0.0,3.1295736,0.0,3.7521849,0.6650265,0.0,3.5136254
IND700088AAA,5.7538066,0.0,3.3630617,0.0,5.493496,0.0,0.0,5.409005
IND175001AAA,4.3934646,0.0,3.588434,0.12587711,4.254815,1.227539,0.0,3.8321652
IND560064AAD,0.2267023,0.0,0.0,0.0,0.1765486,0.0,0.0,0.23062876
IND262405AAA,0.14316863,0.0,0.0,0.0,0.27644342,0.0,0.0,0.18804279
IND425508AAB,2.9837067,0.0,2.5592,0.0,3.1188204,0.16924985,0.0,2.7635398
IND577501AAA,3.0957768,0.0,1.7591289,0.0,2.8675323,0.0,0.0,2.9729533
IND842001AAA,11.145032,0.0,6.9150453,0.0,6.288115,0.0,0.0,8.516195
IND721401AAA,3.8032825,0.0,3.0644183,0.0,3.765148,0.3913017,0.0,3.486658
IND110020AAB,5.519486,0.0,3.373551,0.0,5.179037,0.0,0.0,5.002729
IND734203AAA,6.6924834,0.0,5.677115,0.68505573,6.793167,2.5880542,0.0,5.87186
IND786184AAA,3.4465938,0.0,2.4896276,0.0,3.0985644,0.0,0.0,3.1127622
IND733128AAA,3.7549355,0.0,2.8333104,0.0,3.3536308,0.16014507,0.0,3.3070047
IND680307AAA,3.2787812,0.0,2.1529412,0.0,2.6742337,0.0,0.0,2.9364083
IND591304AAA,2.5601757,0.0,1.8485423,0.0,2.1290848,0.0,0.0,2.226041
IND415124AAA,2.7799408,0.0,2.2315204,0.0,2.637871,0.4268439,0.0,2.487046
IND624101AAA,1.3817787,0.0,1.0596819,0.0,1.3386612,0.0,0.0,1.3074394
IND123001AAA,3.8495567,0.0,3.2948592,0.0,3.831527,0.7736034,0.0,3.4790728
IND462001AAA,6.874594,0.0,5.4257493,0.0,6.5573072,0.71163136,0.0,6.299614
IND465669AAB,3.4597766,0.0,2.4498699,0.0,3.2501104,0.0,0.0,3.2739742
IND625532AAA,0.5026569,0.0,0.0,0.0,0.051058225,0.0,0.0,0.31134805
IND515411AAA,3.819925,0.0,2.9810019,0.0,3.6990445,0.07956704,0.0,3.530904
