source_center,destination_center,source_name,destination_name,median_factor,total_trips,median_osrm_dist_km,pct_delayed,is_sparse,is_chronically_delayed
IND731301AAA,IND713205AAB,Nanoor_Central_DPP_1 (West Bengal),Durgapur_Central_I_1 (West Bengal),1.943661971830986,19,76.5807,1.0,False,True
IND842003AAB,IND480661AAA,Jabalpur_Adhartal_IP (Madhya Pradesh),Seoni_Kidwai_D (Madhya Pradesh),1.942286036036036,2,156.1569,1.0,True,True
IND518401AAA,IND518422AAB,Nandikotkr_UmarDPP_D (Andhra Pradesh),Atmakur_IndraNgr_D (Andhra Pradesh),1.9416666666666664,12,35.06115,1.0,False,True
IND362220AAA,IND362225AAA,Junagadh_keshod_DC (Gujarat),Mangrol_JilRDDPP_D (Gujarat),1.9415384615384614,6,28.35335,1.0,False,True
IND507002AAA,IND507159AAA,Khammam_NSTRoad_I (Telangana),Kusumnchi_SKRoad_D (Telangana),1.9411764705882355,3,23.1748,1.0,True,True
IND509103AAB,IND509103AAC,Wanaparthy_VallaDPP_D (Telangana),,1.9411764705882355,1,18.9512,1.0,True,True
IND521105AAA,IND534001AAA,HanumanJNC_VijywdRD_D (Andhra Pradesh),Eluru_Agraharm_DC (Andhra Pradesh),1.941176470588235,4,18.16985,1.0,True,True
IND131028AAB,IND124507AAA,Sonipat_Kundli_H (Haryana),Bahadurgarh_DC (Haryana),1.9404761904761905,10,36.71885,1.0,False,True
IND516390AAA,IND515004AAA,Pulivendula_RTCStand_D (Andhra Pradesh),Anantapur_KamaStrt_I (Andhra Pradesh),1.9404761904761905,15,99.5907,1.0,False,True
IND533003AAA,IND533401AAA,Kakinada_DC (Andhra Pradesh),Tuni_Eaglvari_D (Andhra Pradesh),1.9392097264437689,18,62.66395,1.0,False,True
IND306116AAA,IND306001AAA,Falna_SbhRDDPP_D (Rajasthan),MarwarJn_SndbrDPP_D (Rajasthan),1.9390243902439022,3,104.691,1.0,True,True
IND585314AAA,IND586211AAA,Aland_RazaviRd_D (Karnataka),Indi_SindgiRD_D (Karnataka),1.9381443298969072,3,104.968,1.0,True,True
IND627117AAA,IND629001AAA,Vallior_Radhaprm_D (Tamil Nadu),Nagarcoil_AsrplmRd_DC (Tamil Nadu),1.9375,11,35.1044,1.0,False,True
IND825409AAA,IND000000ACB,JhumriTlya_RadhaCpx_D (Jharkhand),Gurgaon_Bilaspur_HB (Haryana),1.9372153349621453,14,1050.3371000000002,1.0,False,True
IND411033AAA,IND521225AAB,Pune_Tathawde_H (Maharashtra),Vijayawada_Rynapadu_H (Andhra Pradesh),1.9371345029239766,10,911.93355,1.0,False,True
IND501359AAE,IND500010AAA,Hyderabad_Shamshbd_H (Telangana),Hyderabad_Alwal_I (Telangana),1.9358974358974355,12,47.48885,1.0,False,True
IND632006AAA,IND632301AAA,Vellore_GndhiNgr_IP (Tamil Nadu),Arani_KrthiKyn_D (Tamil Nadu),1.935483870967742,14,39.94695,1.0,False,True
IND302014AAB,IND302006AAA,Jaipur_Central_I_7 (Rajasthan),Jaipur (Rajasthan),1.9354166666666666,16,16.0949,1.0,False,True
IND751015AAA,IND752055AAA,Bhubaneshwar_Nayapalli (Orissa),Khurdha_MunplDPP_D (Orissa),1.9347826086956523,2,26.3951,1.0,True,True
IND625516AAA,IND685514AAA,Cumbum_LFRoad_D (Tamil Nadu),Kattappana_Palikval_D (Kerala),1.934782608695652,7,33.3321,1.0,False,True
IND562132AAA,IND462022AAA,Bangalore_Nelmngla_H (Karnataka),Bhopal_Trnsport_H (Madhya Pradesh),1.9340446168768184,13,1393.6625,1.0,False,True
IND532001AAB,IND532127AAA,Srikakulam_Kuslpram_I (Andhra Pradesh),Rajam_SamathBv_D (Andhra Pradesh),1.9333333333333331,21,34.429199999999994,1.0,False,True
IND585104AAA,IND586128AAA,Gulbarga_Nehrugnj_I (Karnataka),Sindagi_KalyanNg_D (Karnataka),1.9324324324324325,15,92.5224,1.0,False,True
