center,n2v_0,n2v_1,n2v_2,n2v_3,n2v_4,n2v_5,n2v_6,n2v_7,n2v_8,n2v_9,n2v_10,n2v_11,n2v_12,n2v_13,n2v_14,n2v_15,n2v_16,n2v_17,n2v_18,n2v_19,n2v_20,n2v_21,n2v_22,n2v_23,n2v_24,n2v_25,n2v_26,n2v_27,n2v_28,n2v_29,n2v_30,n2v_31
IND758001AAA,1.2620088,-1.1156523,1.3501284,-0.30328795,0.5232954,-0.013631942,-0.2866071,-0.17153452,0.8573482,-1.1343727,0.56443626,0.6739704,1.1252637,0.3338729,0.9052242,0.18900856,0.48224303,0.021518452,0.11249797,0.6410619,0.056335784,0.3077338,-2.1235025,-0.013113791,0.9109164,0.2788718,0.49033648,-0.5647384,-1.6096193,-1.5809963,0.067662574,0.7751425
IND474003AAA,0.7670317,-0.14277029,0.79980266,0.4831149,0.74383676,-0.8016106,-0.76124835,-0.4880443,-0.32229978,0.1697812,0.58488303,1.2598895,0.3750724,-0.06338483,0.82866096,0.7699108,-0.7047641,0.6818134,-0.6268844,0.6383061,0.16913652,0.36497447,-1.2774674,-0.7029607,-0.3448289,-0.72842085,-0.17899196,-0.27484176,-0.07084486,0.46928695,-0.43716443,-0.37953004
IND396232AAA,-0.5266836,-0.29940954,1.4536449,-1.1641922,0.15032354,0.4013453,-0.09170761,-0.11833772,-2.1663523,-0.6851106,-0.09476636,1.0131112,-0.19759434,-0.0093162805,0.7083207,0.674592,0.655112,-0.011897941,0.2227429,0.19312012,0.7332018,-0.13423349,-0.4155957,-1.1283807,0.65140253,-0.36421856,-0.752485,-0.3710614,-0.5634099,0.3803945,0.53647095,0.24268565
IND333031AAA,0.8080118,-1.033028,1.4573835,-1.6333964,-0.35107893,-0.087567136,-0.09707166,-0.8826282,-1.1853735,-1.3448884,-0.501615,0.6307644,0.3773913,1.0787287,0.011905161,-0.12643465,-0.6134835,-0.021492107,0.15756619,1.3731831,-0.56755435,1.261932,0.04197406,-0.87341964,-0.41026518,-0.09357058,-0.8555983,0.4413312,0.037038226,-1.0020475,1.0479821,-0.40501603
IND602024AAA,0.6605238,0.43822652,0.42082605,0.053234518,0.14346363,-0.5610968,0.29188007,-0.4622595,-0.5651617,-1.2261189,0.029228808,1.3627534,-0.86221516,0.83762413,0.51011217,-0.109115645,0.23974463,1.3423791,-0.4539654,1.088691,-0.15386318,-0.51698124,-0.47361234,0.11990393,0.089187115,-1.6392342,0.04127759,-0.83923936,-0.29788557,0.68457097,0.13846652,1.5699683
IND201301AAM,0.52089006,-0.570849,1.0961062,0.37717456,0.38511813,-0.15160736,-0.1932815,-0.3213909,-0.034218106,-0.59431064,0.07971322,0.5299824,-0.21183778,-0.03653457,0.08486251,-0.15024868,-0.35503495,0.10017769,-0.37167346,0.7242607,0.38708714,0.0737077,-1.0879312,-0.036180295,0.24550292,-0.33939227,-0.094909765,0.21964145,-0.5275288,0.72726285,0.17069826,-0.46624735
IND202001AAC,0.55130476,0.6999218,1.523081,-0.5235297,1.3504764,-0.8031004,0.67723346,-1.8185508,0.12879308,0.31590563,0.045800567,1.9725076,-0.08581347,1.1345448,0.40647972,0.16854003,-0.657582,1.3132743,-0.4237799,0.7405073,0.7568376,0.8325809,0.24203978,-0.8879453,-0.22860186,0.17760403,-0.226938,-0.6581425,-0.852507,0.99900204,-0.7968366,-0.106791236
IND827013AAA,0.28324696,-0.07272824,0.82642734,-0.088907994,0.41149023,-0.094720505,0.26119778,-0.67062944,-0.53384477,-0.2663913,0.31844088,1.1628962,-0.35275778,-0.007227885,0.8101529,-0.14658116,-0.11880711,-0.10416749,0.27111703,0.88779265,1.1349435,-0.5764324,-1.5138766,-0.77126,-1.142248,0.23015493,0.4538679,0.022709247,-0.70924234,0.26646674,0.80330914,-0.5923791
IND303002AAA,0.040667146,-0.33753446,1.1406543,-1.420181,0.57115704,-0.31792307,0.19077067,-0.20148613,-0.16666877,-0.9292462,-0.048166145,0.17092437,0.6181107,0.31497806,-0.16892889,-0.33577272,-0.23366053,0.1887828,-0.6798809,1.6307662,-0.42955586,0.014138632,-0.63000774,-1.0293137,-0.4036268,-0.112860106,-0.4630786,-0.30333188,-0.43740636,0.27736044,-0.28018954,-0.9331447
IND401501AAA,-0.17927879,1.436899,0.8363499,-0.9537538,-0.6701919,-1.3951528,-0.35350782,-1.1247786,-0.16185562,0.40473822,1.3302292,2.289802,-0.8698009,0.16271915,1.6352288,-0.04663723,0.9308696,-0.390719,-0.60146904,1.342746,0.11780481,2.2083333,-0.31215858,-0.08831221,-0.36991364,-0.9891241,-0.94566065,-0.89084667,-1.4334915,-0.16678363,-0.6350677,-0.21161732
