center,name,betweenness,in_degree,out_degree,in_degree_weighted,out_degree_weighted,clustering,avg_incoming_delay_factor,bottleneck_score
IND174021AAA,Ghumarwin_Gndhichk_D (Himachal Pradesh),0.0,0,1,0.0,2.1333333333333333,0.0,0.0,0.0
IND792120AAB,Changlang_Central_D_1 (Arunachal Pradesh),0.0,1,1,5.0625,2.1538461538461537,0.0,5.0625,0.0
IND272153AAC,Bansi_GangDPP_D (Uttar Pradesh),0.0,1,0,2.1538461538461537,0.0,0.0,2.1538461538461537,0.0
IND421302AAF,Mumbai_Kalyan (Maharashtra),0.0,1,0,2.1538461538461537,0.0,0.0,2.1538461538461537,0.0
IND508206AAA,Kodad_VidyaNgr_D (Telangana),0.0,2,2,4.068241422883437,3.2905605161702725,1.0,2.0341207114417186,0.0
IND401209AAA,Mumbai_Virar_DC (Maharashtra),0.0,1,1,2.1538461538461537,6.333333333333333,0.0,2.1538461538461537,0.0
IND142401AAA,Khanna_DC (Punjab),0.0,2,1,4.289209164818921,1.75,1.0,2.1446045824094604,0.0
IND494334AAB,Kanker_KrisnKunj_D (Chhattisgarh),0.0,0,1,0.0,1.7099236641221374,0.0,0.0,0.0
IND495004AAA,Bilaspur_Torwa_DC (Chhattisgarh),0.0,0,1,0.0,1.9392091648189211,0.0,0.0,0.0
IND276128AAA,Azamgarh_ChtwrDPP_D (Uttar Pradesh),0.0,0,1,0.0,1.9392091648189211,0.0,0.0,0.0
IND141109AAA,Raikot_DC (Punjab),0.0,1,1,1.3797619047619047,1.375,1.0,1.3797619047619047,0.0
IND385320AAA,Bhabhar_TirupDPP_D (Gujarat),0.0,1,1,1.2933333333333332,0.9864864864864865,1.0,1.2933333333333332,0.0
IND224122AAA,Akbarpur_Auliyapr_D (Uttar Pradesh),0.0,1,0,3.0,0.0,0.0,3.0,0.0
IND332715AAB,Shrimadhopur_RLSTNDPP_D (Rajasthan),0.0,1,0,1.9392091648189211,0.0,0.0,1.9392091648189211,0.0
IND282001AAC,Agra_Idgah_L (Uttar Pradesh),0.0,1,1,1.9392091648189211,1.9392091648189211,1.0,1.9392091648189211,0.0
IND637408AAA,Rasipurm_Knrpati_D (Tamil Nadu),0.0,0,1,0.0,1.7586206896551726,0.0,0.0,0.0
IND380021AAA,AMD_Rakhial (Gujarat),0.0,0,1,0.0,3.3846153846153846,0.0,0.0,0.0
IND712310AAA,Kolkata_Dankuni_P (West Bengal),0.0,2,0,9.559941520467836,0.0,0.0,4.779970760233918,0.0
IND335501AAA,Bhadra_GMndiDPP_D (Rajasthan),0.0,0,1,0.0,1.9392091648189211,0.0,0.0,0.0
IND637301AAA,Sankari_Trchngrd_D (Tamil Nadu),0.0,0,1,0.0,1.8529411764705876,0.0,0.0,0.0
IND841428AAA,Gopalganj_GopalDPP_D (Bihar),0.0,2,0,5.6193158920818345,0.0,1.0,2.8096579460409172,0.0
IND600048AAA,Chennai_Vandalur_Dc (Tamil Nadu),0.0,2,1,6.553846153846154,2.1538461538461537,1.0,3.276923076923077,0.0
IND844101AAB,Hajipur_ThaneDPP_D (Bihar),0.0,0,1,0.0,1.9392091648189211,0.0,0.0,0.0
IND757041AAA,Udala_NagplDPP_D (Orissa),0.0,1,2,1.9392091648189211,3.8784183296378423,1.0,1.9392091648189211,0.0
IND711409AAA,Howrah_Salap_DC (West Bengal),0.0,1,0,2.1538461538461537,0.0,0.0,2.1538461538461537,0.0
