rank,center,name,legs_out,breaches,legs_in,breaches_in,breach_rate,network_breach_share_pct,recoverable_breaches,revenue_at_risk_rs,revenue_recoverable_rs,betweenness,in_degree,out_degree,avg_incoming_delay_factor,bottleneck_score,clustering,rankable
0,IND302020AAA,Jaipur_VarunCly_DC (Rajasthan),19,13,18.0,5.0,0.6842105263157895,0.16830657690315898,8.0,6500.0,4000.0,0.0,1.0,1.0,2.083333333333333,0.0,0.0,False
0,IND382421AAA,Gandhinagar_DC (Gujarat),29,13,6.0,5.0,0.4482758620689655,0.16830657690315898,5.0,6500.0,2500.0,0.0,1.0,2.0,2.1538461538461537,0.0,1.0,False
0,IND515401AAB,Gooty_StatonRd_D (Andhra Pradesh),18,13,17.0,1.0,0.7222222222222222,0.16830657690315898,8.0,6500.0,4000.0,0.0012114933746332,1.0,1.0,1.775,0.0021504007399739,0.0,False
0,IND585314AAA,Aland_RazaviRd_D (Karnataka),19,13,20.0,2.0,0.6842105263157895,0.16830657690315898,8.0,6500.0,4000.0,0.000399075508098,2.0,2.0,1.994448850118953,0.0007959356882367,0.0,False
0,IND721102AAA,Midnapore_Talkui_D (West Bengal),13,13,5.0,2.0,1.0,0.16830657690315898,9.0,6500.0,4500.0,0.0023587859227402,1.0,1.0,1.9392091648189207,0.0045741792792237,1.0,False
0,IND741156AAA,Plassey_BtaiRoad_D (West Bengal),21,13,20.0,8.0,0.6190476190476191,0.16830657690315898,7.0,6500.0,3500.0,0.0011829596739549,1.0,2.0,2.588235294117647,0.003061777979648,0.0,False
0,IND843301AAA,Sitamari_Durma_D (Bihar),20,13,19.0,17.0,0.65,0.16830657690315898,8.0,6500.0,4000.0,0.0003947161927166,2.0,1.0,3.3970251716247137,0.0013408608423062,0.6666666666666666,False
0,IND121102AAA,Palwal (Haryana),12,12,41.0,6.0,1.0,0.15535991714137753,9.0,6000.0,4500.0,0.0,1.0,1.0,1.9342672413793107,0.0,0.0,False
0,IND224001AAA,Faizabad_TrnspNgr_D (Uttar Pradesh),13,12,0.0,0.0,0.9230769230769231,0.15535991714137753,8.0,6000.0,4000.0,0.0,0.0,1.0,0.0,0.0,0.0,False
0,IND271210AAA,Tulsipur_Central_DPP_1 (Uttar Pradesh),12,12,7.0,2.0,1.0,0.15535991714137753,9.0,6000.0,4500.0,3.963013983098538e-07,2.0,1.0,2.26025641025641,8.95742775923426e-07,1.0,False
0,IND342301AAA,Phalodi_PalikDPP_D (Rajasthan),14,12,16.0,1.0,0.8571428571428571,0.15535991714137753,8.0,6000.0,4000.0,0.0015764869624765,4.0,1.0,1.8248778881069443,0.0028768961987124,0.5,False
0,IND425508AAB,Raver_Truptingr_D (Maharashtra),16,12,11.0,0.0,0.75,0.15535991714137753,8.0,6000.0,4000.0,5.1519181780281e-06,1.0,1.0,2.1538461538461537,1.1096439152675906e-05,0.0,False
0,IND431517AAB,Ambajogai_BnsllNgr_D (Maharashtra),12,12,14.0,14.0,1.0,0.15535991714137753,9.0,6000.0,4500.0,0.0031426700885971,1.0,1.0,2.933333333333333,0.0092184989265516,0.0,False
0,IND500050AAA,Patancheru_Ameenpur_I (Telangana),26,12,20.0,1.0,0.46153846153846156,0.15535991714137753,5.0,6000.0,2500.0,0.0011940561131075,2.0,2.0,1.9418424317617864,0.0023186688263368,0.0,False
0,IND505122AAA,Jammikunta_ConduDPP_D (Telangana),16,12,15.0,1.0,0.75,0.15535991714137753,8.0,6000.0,4000.0,0.0007910175910264,2.0,1.0,1.7848219737138082,0.0014118255780582,0.3333333333333333,False
0,IND560067AAC,Bengaluru_Kadugodi_D (Karnataka),20,12,8.0,8.0,0.6,0.15535991714137753,7.0,6000.0,3500.0,0.0,1.0,1.0,3.444444444444445,0.0,0.0,False
0,IND585401AAA,Bidar (Karnataka),22,12,21.0,1.0,0.5454545454545454,0.15535991714137753,6.0,6000.0,3000.0,0.0039400285019965,1.0,1.0,1.8823529411764703,0.0074165242390523,0.0,False
0,IND603203AAA,Chennai_Potheri (Tamil Nadu),14,12,3.0,2.0,0.8571428571428571,0.15535991714137753,8.0,6000.0,4000.0,0.0,1.0,2.0,2.1538461538461537,0.0,1.0,False
0,IND688009AAA,Alappuzha_Pazhvedu_D (Kerala),16,12,15.0,0.0,0.75,0.15535991714137753,8.0,6000.0,4000.0,4.755616779718246e-06,1.0,1.0,1.21875,5.795907950281612e-06,0.0,False
0,IND788151AAA,Hailakandi_kalibari_D (Assam),13,12,13.0,10.0,0.9230769230769231,0.15535991714137753,8.0,6000.0,4000.0,0.0008076622497554,1.0,2.0,2.545454545454546,0.0020558675448321,1.0,False
0,IND000000ABG,Hyderabad_Bownplly_C (Telangana),11,11,0.0,0.0,1.0,0.14241325737959606,8.0,5500.0,4000.0,0.0,0.0,1.0,0.0,0.0,0.0,False
0,IND177033AAA,Nadaun_Ward6_D (Himachal Pradesh),18,11,9.0,1.0,0.6111111111111112,0.14241325737959606,6.0,5500.0,3000.0,0.0007910175910264,1.0,1.0,2.1,0.0016611369411555,0.0,False
0,IND221706AAA,Ratanpura_MubarDPP_D (Uttar Pradesh),11,11,7.0,6.0,1.0,0.14241325737959606,8.0,5500.0,4000.0,0.0011984154284889,1.0,1.0,2.4545454545454546,0.0029415651426548,0.0,False
0,IND400016AAB,Mumbai_MhimWest_C (Maharashtra),16,11,0.0,0.0,0.6875,0.14241325737959606,7.0,5500.0,3500.0,0.0,0.0,2.0,0.0,0.0,0.0,False
0,IND400701AAB,Mumbai_Pawane_L (Maharashtra),26,11,25.0,11.0,0.4230769230769231,0.14241325737959606,4.0,5500.0,2000.0,0.0,2.0,1.0,2.345970695970696,0.0,1.0,False
0,IND411021AAA,PNQ Pashan DPC (Maharashtra),28,11,34.0,16.0,0.39285714285714285,0.14241325737959606,3.0,5500.0,1500.0,0.0,1.0,1.0,2.833333333333333,0.0,0.0,False
0,IND477001AAB,Bhind_EtwahDPP_D (Madhya Pradesh),11,11,2.0,0.0,1.0,0.14241325737959606,8.0,5500.0,4000.0,0.0001971599456591,1.0,1.0,1.9392091648189207,0.0003823343735574,1.0,False
