source_center,destination_center,route_type,overall_median_factor,total_trips,median_osrm_dist,median_osrm_time,pct_delayed
IND125001AAA,IND110037AAM,FTL,3.6417910447761193,11,172.4913,132.0,1.0
IND125001AAA,IND125047AAB,FTL,2.057142857142857,7,42.0326,35.0,1.0
IND125001AAA,IND125051AAA,FTL,3.3492063492063493,1,78.5245,63.0,1.0
IND125001AAA,IND335501AAA,FTL,7.949367088607595,1,83.99119999999999,79.0,1.0
IND125001AAA,IND335513AAA,FTL,1.7466666666666666,7,179.8029,151.0,1.0
IND125001AAA,IND335523AAB,FTL,3.147557328015952,4,127.0227,118.0,1.0
IND125001AAA,IND335524AAA,FTL,1.902439024390244,5,167.69289999999998,164.0,1.0
IND125005AAA,IND000000ACB,FTL,1.927007299270073,5,171.9355,137.0,1.0
IND125005AAA,IND125047AAB,FTL,2.1714285714285717,3,42.031400000000005,35.0,1.0
IND125005AAA,IND335513AAA,FTL,1.7733333333333334,3,179.057,150.0,1.0
IND125005AAA,IND335523AAB,FTL,2.6050420168067228,1,127.9463,119.0,1.0
IND125005AAA,IND335524AAA,FTL,1.6818181818181819,2,169.06279999999998,166.5,1.0
IND125033AAA,IND125001AAA,FTL,2.0,3,21.2745,17.0,1.0
IND125033AAA,IND125005AAA,FTL,2.0620915032679736,2,21.5574,17.5,1.0
IND125047AAB,IND125050AAA,FTL,2.7142857142857144,1,44.6977,35.0,1.0
IND125047AAB,IND125051AAA,FTL,2.1842105263157894,10,68.73435,57.0,1.0
IND125050AAA,IND125051AAA,FTL,1.7186147186147185,2,23.45665,21.5,1.0
IND125051AAA,IND125111AAA,FTL,1.0489583333333334,4,21.792,31.0,0.0
IND125104AAA,IND125005AAA,FTL,2.5871559633027523,1,152.1319,109.0,1.0
IND125111AAA,IND125121AAA,FTL,3.295866935483871,2,37.91675,31.5,1.0
IND125121AAA,IND125001AAA,FTL,3.9,3,36.9483,30.0,1.0
IND126102AAA,IND126116AAA,FTL,2.260869565217391,5,32.845,23.0,1.0
IND126102AAA,IND131301AAA,FTL,2.1571428571428575,2,46.69845,35.0,1.0
IND126112AAA,IND131028AAB,FTL,2.2641314553990606,16,89.5139,72.0,0.9375
